AL,R,Bradley,Byrne,0.581,,
AL,R,Martha,Roby,0.359,,
AL,R,Mike,Rogers,0.346,,
AL,R,Robert,Aderholt,0.376,,
AL,R,Mo,Brooks,0.61,,
AL,R,Gary,Palmer,,,
AL,D,Terri,Sewell,-0.353,,
AK,R,Dan,Young,0.28,,
AZ,D,Tom,O'Halleran,,,
AZ,R,Martha,McSally,,,
AZ,D,Raul,Grijalva,-0.605,,
AZ,R,Paul,Gosar,0.588,,
AZ,R,Andy,Biggs,,,
AZ,R,David,Schweikert,0.715,,
AZ,D,Ruben,Gallego,,,
AZ,R,Trent,Franks,0.787,,
AZ,D,Kyrsten,Sinema,-0.116,,
AR,R,Rick,Crawford,0.341,,
AR,R,French,Hill,,,
AR,R,Steve,Womack,0.34,,
AR,R,Bruce,Westerman,,,
CA,R,Doug,LaMalfa,0.6,,
CA,D,Jared,Huffman,-0.476,,
CA,D,John,Garamendi,-0.332,,
CA,R,Tom,McClintock,0.807,,
CA,D,Mike,Thompson,-0.41,,
CA,D,Doris,Matsui,-0.45,,
CA,D,Ami,Bera,-0.203,,
CA,R,Paul,Cook,0.444,,
CA,D,Jerry,McNerney,-0.247,,
CA,R,Jeff,Denham,0.413,,
CA,R,Mark,DeSaulnier,,,
CA,D,Nancy,Pelosi,-0.505,,
CA,D,Barbara,Lee,-0.71,,
CA,D,Jackie,Speier,-0.426,,
CA,D,Eric,Swalwell,-0.37,,
CA,D,Jim,Costa,-0.18,,
CA,D,Ro,Khanna,,,
CA,D,Anna,Eschoo,-0.404,,
CA,D,Zoe,Lofgren,-0.421,,
CA,D,Jimmy,Panetta,,,
CA,R,David,Valadao,0.334,,
CA,R,Devin,Nunes,0.502,,
CA,R,Kevin,McCarthy,0.485,,
CA,D,Salud,Carbajal,,,
CA,R,Steve,Knight,,,
CA,D,Julia,Brownley,-0.284,,
CA,D,Judy,Chu,-0.525,,
CA,D,Adam,Schiff,-0.339,,
CA,D,Tony,Cardenas,-0.374,,
CA,D,Brad,Sherman,-0.356,,
CA,D,Pete,Aguilar,,,
CA,D,Grace,Napolitano,-0.457,,
CA,D,Ted,Lieu,,,
CA,D,Xavier,Becerra,-0.529,,
CA,D,Norma,Torres,,,
CA,D,Raul,Ruiz,-0.197,,
CA,D,Karen,Bass,-0.546,,
CA,D,Linda,Sanchez,-0.511,,
CA,R,Ed,Royce,0.715,,
CA,D,Lucille,Roybal-Allard,-0.476,,
CA,D,Mark,Takano,-0.515,,
CA,R,Ken,Calvert,0.371,,
CA,D,Maxine,Waters,-0.669,,
CA,D,Nanette,Barragan,,,
CA,R,Mimi,Walters,,,
CA,D,Lou,Correa,,,
CA,D,Alan,Lowenthal,-0.531,,
CA,R,Dana,Rohrabacher,0.66,,
CA,R,Darrell,Issa,0.541,,
CA,R,Duncan,Hunter,0.543,,
CA,D,Juan,Vargas,-0.404,,
CA,D,Scott,Peters,-0.155,,
CA,D,Susan,Davis,-0.343,,
CO,D,Diana,DeGette,-0.451,,
CO,D,Jared,Polis,-0.317,,
CO,R,Scott,Tipton,0.478,,
CO,R,Ken,Buck,,,
CO,R,Doug,Lamborn,0.729,,
CO,R,Mike,Coffman,0.563,,
CO,D,Ed,Perlmutter,-0.286,,
CN,D,John,Larson,-0.412,John B.,
CN,D,Joe,Courtney,-0.355,,
CN,D,Rosa,DeLauro,-0.424,,
CN,D,Jim,Himes,-0.246,,
CN,D,Elizabeth,Etsy,-0.317,,
